"","area","inc","resp"
"393",8,0,0
"394",8,1,1
"395",8,1,0
"396",8,1,0
"397",8,1,1
"398",8,1,1
"399",8,0,0
"400",8,1,1
"401",9,0,1
"402",9,1,1
"403",9,0,0
"404",9,1,1
"405",9,1,1
"406",9,1,1
"407",9,0,0
"408",9,1,1
"409",9,0,0
"410",9,0,0
"411",9,0,0
"412",9,1,1
"413",9,0,0
"414",9,1,0
"415",9,1,1
"416",9,0,0
"417",9,0,1
"418",9,0,1
"419",9,1,0
"420",9,1,1
"421",9,0,0
"422",9,1,1
"423",9,1,1
"424",9,0,1
"425",9,1,0
"426",9,0,0
"427",9,1,1
"428",9,0,0
"429",9,0,1
"430",9,0,1
"431",9,0,0
"432",9,1,0
"433",9,0,0
"434",9,1,0
"435",9,0,0
"436",9,1,1
"437",9,1,0
"438",9,0,1
"439",9,0,0
"440",9,1,1
"441",9,1,0
"442",9,1,0
"443",9,0,0
"444",9,1,0
"445",9,0,0
"446",9,1,1
"447",9,0,1
"448",9,1,1
"449",9,1,1
"450",9,1,0
"451",10,1,1
"452",10,1,1
"453",10,1,1
"454",10,1,1
"455",10,1,1
"456",10,0,1
"457",10,1,1
"458",10,0,1
"459",10,1,1
"460",10,0,1
"461",10,0,1
"462",10,0,1
"463",10,1,1
"464",10,1,1
"465",10,0,1
"466",10,1,0
"467",10,0,0
"468",10,1,1
"469",10,0,1
"470",10,1,1
"471",10,0,1
"472",10,0,1
"473",10,0,1
"474",10,0,1
"475",10,0,0
"476",10,1,1
"477",10,0,0
"478",10,0,1
"479",10,0,0
"480",10,0,1
"481",10,1,1
"482",10,0,1
"483",10,0,1
"484",10,0,1
"485",10,1,1
"486",10,0,1
"487",10,1,1
"488",10,1,1
"489",10,0,0
"490",10,0,1
"491",10,1,1
"492",10,0,0
"493",10,1,1
"494",10,0,1
"495",10,1,0
"496",10,0,0
"497",10,1,1
"498",10,1,0
"499",10,1,1
"500",10,1,1
"501",11,1,1
"502",11,1,1
"503",11,0,1
"504",11,0,1
"505",11,1,1
"506",11,0,1
"507",11,0,1
"508",11,1,1
"509",11,1,1
"510",11,0,0
"511",11,1,0
"512",11,0,1
"513",11,1,1
"514",11,1,1
"515",11,1,1
"516",11,0,1
"517",11,0,1
"518",11,1,1
"519",11,0,1
"520",11,0,0
"521",11,1,1
"522",11,0,1
"523",11,0,0
"524",11,1,0
"525",11,0,1
"526",11,1,1
"527",11,1,1
"528",11,1,1
"529",11,0,1
"530",11,1,0
"531",11,0,0
"532",11,1,1
"533",11,1,1
"534",11,0,1
"535",11,1,1
"536",11,1,1
"537",11,0,1
"538",11,0,0
"539",11,0,1
"540",11,0,1
"541",11,1,1
"542",11,1,1
"543",11,0,1
"544",11,1,1
"545",11,0,0
"546",11,0,1
"547",11,0,0
"548",11,0,1
"549",11,1,0
"550",11,0,0
"551",12,0,1
"552",12,0,0
"553",12,1,0
"554",12,0,0
"555",12,1,1
"556",12,1,0
"557",12,0,1
"558",12,0,1
"559",12,1,1
"560",12,0,0
"561",12,0,0
"562",12,0,1
"563",12,0,0
"564",12,1,1
"565",12,0,1
"566",12,1,1
"567",12,0,1
"568",12,1,0
"569",12,0,1
"570",12,1,0
"571",12,0,1
"572",12,1,0
"573",12,0,0
"574",12,1,1
"575",12,0,1
"576",12,0,1
"577",12,1,1
"578",12,0,1
"579",12,0,0
"580",12,1,0
"581",12,0,1
"582",12,0,0
"583",12,0,1
"584",12,0,0
"585",12,1,1
"586",12,1,1
"587",12,1,1
"588",12,1,1
"589",12,0,0
"590",12,1,1
"591",12,1,0
"592",12,1,1
"593",12,1,1
"594",12,0,0
"595",12,1,1
"596",12,0,0
"597",12,0,1
"598",12,1,1
"599",12,0,1
"600",12,0,1
"601",13,1,1
"602",13,1,1
"603",13,0,1
"604",13,0,0
"605",13,1,1
"606",13,1,0
"607",13,0,0
"608",13,1,0
"609",13,0,1
"610",13,1,1
"611",13,0,1
"612",13,0,0
"613",13,1,1
"614",13,0,0
"615",13,0,0
"616",13,0,0
"617",13,1,0
"618",13,1,0
"619",13,0,0
"620",13,1,1
"621",13,0,0
"622",13,0,0
"623",13,0,1
"624",13,1,1
"625",13,0,1
"626",13,0,1
"627",13,1,0
"628",13,0,0
"629",13,0,0
"630",13,0,1
"631",13,1,0
"632",13,0,0
"633",13,1,1
"634",13,0,0
"635",13,1,0
"636",13,1,1
"637",13,0,0
"638",13,1,1
"639",13,1,0
"640",13,1,0
"641",13,1,0
"642",13,1,1
"643",13,1,0
"644",13,0,0
"645",13,0,0
"646",13,0,0
"647",13,0,0
"648",13,0,1
"649",13,1,0
"650",13,0,1
"651",14,0,0
"652",14,0,0
"653",14,1,1
"654",14,1,1
"655",14,1,0
"656",14,0,1
"657",14,0,1
"658",14,1,1
"659",14,1,0
"660",14,0,0
"661",14,0,0
"662",14,1,1
"663",14,1,1
"664",14,0,1
"665",14,0,0
"666",14,1,0
"667",14,1,0
"668",14,0,1
"669",14,0,0
"670",14,1,1
"671",14,0,1
"672",14,0,0
"673",14,1,0
"674",14,1,1
"675",14,0,0
"676",14,0,0
"677",14,1,1
"678",14,0,0
"679",14,1,0
"680",14,1,1
"681",14,0,1
"682",14,1,1
"683",14,1,1
"684",14,1,1
"685",14,0,1
"686",14,0,1
"687",14,1,1
"688",14,0,0
"689",14,1,1
"690",14,1,1
"691",14,1,0
"692",14,0,0
"693",14,1,0
"694",14,0,0
"695",14,1,1
"696",14,0,0
"697",14,1,1
"698",14,1,1
"699",14,0,0
"700",14,0,1
"701",15,0,0
"702",15,1,1
"703",15,0,1
"704",15,1,1
"705",15,0,1
"706",15,0,1
"707",15,1,1
"708",15,0,0
"709",15,1,1
"710",15,0,0
"711",15,0,1
"712",15,0,0
"713",15,0,1
"714",15,0,0
"715",15,1,1
"716",15,0,1
"717",15,0,1
"718",15,0,0
"719",15,1,1
"720",15,0,1
"721",15,1,1
"722",15,1,1
"723",15,1,1
"724",15,0,1
"725",15,1,1
"726",15,1,0
"727",15,1,1
"728",15,1,1
"729",15,0,1
"730",15,1,1
"731",15,0,1
"732",15,0,1
"733",15,0,1
"734",15,1,1
"735",15,1,1
"736",15,0,1
"737",15,1,1
"738",15,0,1
"739",15,0,1
"740",15,0,0
"741",15,1,1
"742",15,0,1
"743",15,0,1
"744",15,0,1
"745",15,0,1
"746",15,1,1
"747",15,0,1
"748",15,0,0
"749",15,1,1
"750",15,1,1
"751",16,1,1
"752",16,0,0
"753",16,1,1
"754",16,1,1
"755",16,0,0
"756",16,1,1
"757",16,0,0
"758",16,1,0
"759",16,0,0
"760",16,1,0
"761",16,1,1
"762",16,1,0
"763",16,0,0
"764",16,0,0
"765",16,1,0
"766",16,0,0
"767",16,0,0
"768",16,1,0
"769",16,1,1
"770",16,0,0
"771",16,0,0
"772",16,0,0
"773",16,1,1
"774",16,1,0
"775",16,1,1
"776",16,0,0
"777",16,0,0
"778",16,1,1
"779",16,0,0
"780",16,1,1
"781",16,1,1
"782",16,1,1
"783",16,1,0
"784",16,0,0
"785",16,0,0
"786",16,1,1
"787",16,1,1
"788",16,1,0
"789",16,1,0
"790",16,0,1
"791",16,1,1
"792",16,1,0
"793",16,1,0
"794",16,1,1
"795",16,1,1
"796",16,1,1
"797",16,0,1
"798",16,0,1
"799",16,0,0
"800",16,0,1
"801",17,1,1
"802",17,0,0
"803",17,0,1
"804",17,1,1
"805",17,0,0
"806",17,1,1
"807",17,0,1
"808",17,0,0
"809",17,1,1
"810",17,0,0
"811",17,0,0
"812",17,1,1
"813",17,1,0
"814",17,0,0
"815",17,0,0
"816",17,1,1
"817",17,1,0
"818",17,0,0
"819",17,0,0
"820",17,0,0
"821",17,0,1
"822",17,0,1
"823",17,0,1
"824",17,0,0
"825",17,0,0
"826",17,0,0
"827",17,0,0
"828",17,1,1
"829",17,0,1
"830",17,0,0
"831",17,1,0
"832",17,0,0
"833",17,0,0
"834",17,0,0
"835",17,1,1
"836",17,1,0
"837",17,1,0
"838",17,0,0
"839",17,0,1
"840",17,0,0
"841",17,1,1
"842",17,0,0
"843",17,0,0
"844",17,1,1
"845",17,1,0
"846",17,1,1
"847",17,0,0
"848",17,1,1
"849",17,0,1
"850",17,1,1
"851",18,1,1
"852",18,0,0
"853",18,1,1
"854",18,1,1
"855",18,0,0
"856",18,0,0
"857",18,1,1
"858",18,1,1
"859",18,0,0
"860",18,0,0
"861",18,1,0
"862",18,0,0
"863",18,1,1
"864",18,0,0
"865",18,1,0
"866",18,1,1
"867",18,1,1
"868",18,0,1
"869",18,0,1
"870",18,0,0
"871",18,0,0
"872",18,0,0
"873",18,1,1
"874",18,0,0
"875",18,1,1
"876",18,0,0
"877",18,1,1
"878",18,0,0
"879",18,0,1
"880",18,0,0
"881",18,1,1
"882",18,1,1
"883",18,1,0
"884",18,1,1
"885",18,1,1
"886",18,1,1
"887",18,0,1
"888",18,1,1
"889",18,1,1
"890",18,1,1
"891",18,0,1
"892",18,1,1
"893",18,0,0
"894",18,1,0
"895",18,1,0
"896",18,0,1
"897",18,0,0
"898",18,0,0
"899",18,0,0
"900",18,0,0
"901",19,1,1
"902",19,1,1
"903",19,1,1
"904",19,1,1
"905",19,0,1
"906",19,0,0
"907",19,0,1
"908",19,0,1
"909",19,1,1
"910",19,0,1
"911",19,1,1
"912",19,1,1
"913",19,0,1
"914",19,0,1
"915",19,1,1
"916",19,1,1
"917",19,1,0
"918",19,0,1
"919",19,0,0
"920",19,0,0
"921",19,0,1
"922",19,0,1
"923",19,1,1
"924",19,0,1
"925",19,0,1
"926",19,1,1
"927",19,1,1
"928",19,0,0
"929",19,0,1
"930",19,0,1
"931",19,0,1
"932",19,1,1
"933",19,1,1
"934",19,1,1
"935",19,0,1
"936",19,1,1
"937",19,0,1
"938",19,0,1
"939",19,1,1
"940",19,0,1
"941",19,0,1
"942",19,1,1
"943",19,1,1
"944",19,1,1
"945",19,1,1
"946",19,0,1
"947",19,0,1
"948",19,0,0
"949",19,1,1
"950",19,1,1
"951",20,1,1
"952",20,1,0
"953",20,0,0
"954",20,1,1
"955",20,1,0
"956",20,0,0
"957",20,1,0
"958",20,1,1
"959",20,1,1
"960",20,0,0
"961",20,1,0
"962",20,0,1
"963",20,0,0
"964",20,0,0
"965",20,0,0
"966",20,0,1
"967",20,1,1
"968",20,1,0
"969",20,0,0
"970",20,0,0
"971",20,1,1
"972",20,0,0
"973",20,1,1
"974",20,1,0
"975",20,0,0
"976",20,0,1
"977",20,1,0
"978",20,0,1
"979",20,0,1
"980",20,0,0
"981",20,0,0
"982",20,1,0
"983",20,0,1
"984",20,0,0
"985",20,1,1
"986",20,0,1
"987",20,0,0
"988",20,0,0
"989",20,1,0
"990",20,0,0
"991",20,1,0
"992",20,1,0
"993",20,1,1
"994",20,0,1
"995",20,0,1
"996",20,0,0
"997",20,0,1
"998",20,0,0
"999",20,0,0
"1000",20,0,0
"1001",21,0,0
"1002",21,0,0
"1003",21,0,0
"1004",21,1,0
"1005",21,1,1
"1006",21,0,0
"1007",21,1,0
"1008",21,0,0
"1009",21,0,0
"1010",21,0,0
"1011",21,1,0
"1012",21,1,0
"1013",21,0,0
"1014",21,1,0
"1015",21,1,0
"1016",21,1,0
"1017",21,1,0
"1018",21,1,1
"1019",21,1,0
"1020",21,0,0
"1021",21,1,0
"1022",21,1,0
"1023",21,0,1
"1024",21,0,0
"1025",21,0,0
"1026",21,0,0
"1027",21,0,0
"1028",21,1,0
"1029",21,0,0
"1030",21,0,0
"1031",21,1,0
"1032",21,1,0
"1033",21,0,0
"1034",21,0,0
"1035",21,0,1
"1036",21,0,0
"1037",21,0,0
"1038",21,0,0
"1039",21,1,0
"1040",21,0,0
"1041",21,1,1
"1042",21,1,0
"1043",21,0,0
"1044",21,1,0
"1045",21,0,0
"1046",21,0,0
"1047",21,1,0
"1048",21,0,0
"1049",21,0,0
"1050",21,0,0
"1051",22,0,1
"1052",22,1,1
"1053",22,0,1
"1054",22,0,1
"1055",22,0,1
"1056",22,1,1
"1057",22,1,1
"1058",22,1,1
"1059",22,0,1
"1060",22,0,1
"1061",22,1,1
"1062",22,1,1
"1063",22,1,1
"1064",22,0,1
"1065",22,0,0
"1066",22,1,1
"1067",22,1,1
"1068",22,0,1
"1069",22,1,1
"1070",22,1,0
"1071",22,1,1
"1072",22,0,1
"1073",22,1,1
"1074",22,1,1
"1075",22,0,0
"1076",22,1,1
"1077",22,1,1
"1078",22,1,1
"1079",22,0,0
"1080",22,0,1
"1081",22,1,1
"1082",22,1,1
"1083",22,1,0
"1084",22,0,1
"1085",22,0,0
"1086",22,1,1
"1087",22,1,1
"1088",22,0,1
"1089",22,1,1
"1090",22,1,1
"1091",22,1,1
"1092",22,1,1
"1093",22,1,1
"1094",22,1,1
"1095",22,0,1
"1096",22,0,1
"1097",22,1,1
"1098",22,0,1
"1099",22,1,1
"1100",22,0,1
"1101",23,1,0
"1102",23,1,0
"1103",23,0,0
"1104",23,1,0
"1105",23,0,0
"1106",23,0,0
"1107",23,1,0
"1108",23,0,0
"1109",23,0,0
"1110",23,1,0
"1111",23,1,0
"1112",23,0,0
"1113",23,1,0
"1114",23,0,0
"1115",23,0,0
"1116",23,1,0
"1117",23,0,0
"1118",23,0,0
"1119",23,0,0
"1120",23,0,0
"1121",23,0,0
"1122",23,1,1
"1123",23,1,0
"1124",23,1,1
"1125",23,1,1
"1126",23,0,0
"1127",23,1,0
"1128",23,1,0
"1129",23,1,1
"1130",23,1,0
"1131",23,1,0
"1132",23,0,0
"1133",23,0,1
"1134",23,1,0
"1135",23,0,0
"1136",23,1,1
"1137",23,0,0
"1138",23,0,0
"1139",23,0,0
"1140",23,1,0
"1141",23,0,0
"1142",23,0,0
"1143",23,1,0
"1144",23,0,0
"1145",23,1,0
"1146",23,0,0
"1147",23,1,1
"1148",23,0,1
"1149",23,0,1
"1150",23,0,0
"1151",24,0,0
"1152",24,1,1
"1153",24,1,0
"1154",24,0,0
"1155",24,1,0
"1156",24,0,0
"1157",24,1,0
"1158",24,1,1
"1159",24,1,0
"1160",24,1,1
"1161",24,1,0
"1162",24,0,0
"1163",24,0,0
"1164",24,0,0
"1165",24,0,1
"1166",24,0,1
"1167",24,1,0
"1168",24,1,1
"1169",24,1,1
"1170",24,1,0
"1171",24,1,1
"1172",24,1,0
"1173",24,0,1
"1174",24,0,0
"1175",24,0,1
"1176",24,0,1
"1177",24,1,1
"1178",24,0,0
"1179",24,0,1
"1180",24,0,0
"1181",24,1,0
"1182",24,0,1
"1183",24,1,0
"1184",24,1,0
"1185",24,1,1
"1186",24,1,0
"1187",24,0,0
"1188",24,0,0
"1189",24,0,1
"1190",24,1,1
"1191",24,0,0
"1192",24,1,0
"1193",24,1,1
"1194",24,1,1
"1195",24,0,0
"1196",24,0,1
"1197",24,1,1
"1198",24,1,0
"1199",24,1,0
"1200",24,0,0
"1201",25,1,1
"1202",25,0,0
"1203",25,0,1
"1204",25,0,1
"1205",25,1,1
"1206",25,1,1
"1207",25,1,1
"1208",25,1,1
"1209",25,0,1
"1210",25,1,0
"1211",25,0,1
"1212",25,0,0
"1213",25,1,1
"1214",25,0,1
"1215",25,1,1
"1216",25,1,1
"1217",25,0,0
"1218",25,0,1
"1219",25,1,1
"1220",25,1,0
"1221",25,1,1
"1222",25,1,1
"1223",25,0,1
"1224",25,0,1
"1225",25,0,0
"1226",25,0,0
"1227",25,0,0
"1228",25,1,1
"1229",25,0,1
"1230",25,1,1
"1231",25,1,0
"1232",25,0,1
"1233",25,1,0
"1234",25,1,0
"1235",25,0,1
"1236",25,0,0
"1237",25,1,1
"1238",25,0,0
"1239",25,1,0
"1240",25,1,1
"1241",25,1,0
"1242",25,1,1
"1243",25,1,0
"1244",25,0,1
"1245",25,1,0
"1246",25,1,0
"1247",25,0,1
"1248",25,0,1
"1249",25,1,1
"1250",25,1,1
"1251",26,0,0
"1252",26,1,1
"1253",26,0,0
"1254",26,0,0
"1255",26,0,1
"1256",26,1,1
"1257",26,0,0
"1258",26,1,0
"1259",26,0,0
"1260",26,1,0
"1261",26,0,0
"1262",26,1,0
"1263",26,0,1
"1264",26,0,1
"1265",26,1,0
"1266",26,0,1
"1267",26,0,0
"1268",26,0,0
"1269",26,0,0
"1270",26,0,0
"1271",26,1,0
"1272",26,0,0
"1273",26,1,1
"1274",26,1,1
"1275",26,0,0
"1276",26,0,0
"1277",26,0,0
"1278",26,0,0
"1279",26,0,0
"1280",26,0,0
"1281",26,1,1
"1282",26,0,0
"1283",26,1,1
"1284",26,1,0
"1285",26,0,1
"1286",26,1,1
"1287",26,0,0
"1288",26,0,0
"1289",26,0,0
"1290",26,0,0
"1291",26,1,1
"1292",26,1,1
"1293",26,0,1
"1294",26,1,0
"1295",26,0,0
"1296",26,0,1
"1297",26,0,0
"1298",26,0,0
"1299",26,1,1
"1300",26,0,1
"1301",27,0,1
"1302",27,0,1
"1303",27,1,1
"1304",27,0,1
"1305",27,0,0
"1306",27,1,1
"1307",27,1,1
"1308",27,1,1
"1309",27,1,1
"1310",27,0,1
"1311",27,1,1
"1312",27,1,1
"1313",27,1,1
"1314",27,0,0
"1315",27,1,1
"1316",27,1,1
"1317",27,1,1
"1318",27,0,1
"1319",27,0,1
"1320",27,1,1
"1321",27,0,0
"1322",27,0,1
"1323",27,0,0
"1324",27,1,1
"1325",27,1,1
"1326",27,1,0
"1327",27,0,1
"1328",27,1,1
"1329",27,1,1
"1330",27,1,1
"1331",27,0,0
"1332",27,0,1
"1333",27,0,1
"1334",27,1,1
"1335",27,1,1
"1336",27,1,1
"1337",27,0,1
"1338",27,1,1
"1339",27,1,1
"1340",27,0,1
"1341",27,0,1
"1342",27,1,1
"1343",27,1,1
"1344",27,1,1
"1345",27,1,1
"1346",27,1,1
"1347",27,0,0
"1348",27,0,1
"1349",27,0,0
"1350",27,0,1
"1351",28,1,0
"1352",28,0,1
"1353",28,1,0
"1354",28,0,0
"1355",28,0,1
"1356",28,1,0
"1357",28,0,1
"1358",28,0,0
"1359",28,1,0
"1360",28,1,1
"1361",28,1,0
"1362",28,0,0
"1363",28,1,0
"1364",28,0,1
"1365",28,0,1
"1366",28,1,0
"1367",28,1,1
"1368",28,1,1
"1369",28,0,0
"1370",28,1,0
"1371",28,1,0
"1372",28,0,1
"1373",28,1,0
"1374",28,1,0
"1375",28,0,0
"1376",28,0,0
"1377",28,1,0
"1378",28,1,0
"1379",28,0,0
"1380",28,1,1
"1381",28,1,1
"1382",28,0,0
"1383",28,0,0
"1384",28,1,1
"1385",28,0,1
"1386",28,1,0
"1387",28,1,0
"1388",28,0,0
"1389",28,0,0
"1390",28,1,0
"1391",28,1,1
"1392",28,1,1
"1393",28,0,0
"1394",28,0,0
"1395",28,0,1
"1396",28,1,1
"1397",28,0,0
"1398",28,0,0
"1399",28,1,0
"1400",28,1,0
"1401",29,0,1
"1402",29,0,0
"1403",29,1,0
"1404",29,0,1
"1405",29,0,0
"1406",29,0,0
"1407",29,0,0
"1408",29,1,1
"1409",29,0,0
"1410",29,1,1
"1411",29,0,1
"1412",29,0,0
"1413",29,0,0
"1414",29,0,1
"1415",29,0,1
"1416",29,1,1
"1417",29,0,0
"1418",29,1,0
"1419",29,0,0
"1420",29,1,0
"1421",29,0,0
"1422",29,1,0
"1423",29,0,1
"1424",29,0,0
"1425",29,1,1
"1426",29,0,0
"1427",29,0,0
"1428",29,1,1
"1429",29,1,1
"1430",29,0,1
"1431",29,0,0
"1432",29,0,1
"1433",29,0,0
"1434",29,1,0
"1435",29,1,1
"1436",29,1,1
"1437",29,1,0
"1438",29,1,0
"1439",29,1,1
"1440",29,0,0
"1441",29,0,0
"1442",29,0,1
"1443",29,0,0
"1444",29,0,0
"1445",29,0,0
"1446",29,0,0
"1447",29,0,0
"1448",29,0,0
"1449",29,1,1
"1450",29,0,0
"1451",30,1,0
"1452",30,1,0
"1453",30,0,0
"1454",30,0,1
"1455",30,0,1
"1456",30,0,0
"1457",30,1,0
"1458",30,1,0
"1459",30,1,0
"1460",30,0,0
"1461",30,0,0
"1462",30,1,0
"1463",30,0,0
"1464",30,1,0
"1465",30,1,0
"1466",30,0,0
"1467",30,0,0
"1468",30,0,0
"1469",30,0,0
"1470",30,1,1
"1471",30,1,0
"1472",30,1,1
"1473",30,0,0
"1474",30,1,1
"1475",30,0,0
"1476",30,1,0
"1477",30,1,0
"1478",30,0,0
"1479",30,0,1
"1480",30,0,0
"1481",30,0,0
"1482",30,0,0
"1483",30,1,1
"1484",30,1,0
"1485",30,0,0
"1486",30,1,0
"1487",30,0,1
"1488",30,0,0
"1489",30,1,0
"1490",30,1,0
"1491",30,0,0
"1492",30,1,0
"1493",30,1,0
"1494",30,1,0
"1495",30,0,0
"1496",30,1,0
"1497",30,1,0
